		Earners	Median age of earners	Sum	Median	Mean	P80/P20	P80/P50	P20/P50	P10/P50	Gini coefficient	Top 1%	Top 5%	Top 10%	Lowest Quartile	Second Quartile	Third Quartile	Highest Quartile
54690	Koorda	  238 	  50 	 17,337,407	 50,989	 72,846	13.60 	2.46 	0.18 	0.03 	0.576 	np	20.0 	35.4 	28.8 	23.8 	18.3 	29.2 
54760	Kulin	  550 	  47 	 43,902,360	 57,372	 79,822	8.26 	2.21 	0.27 	0.05 	0.550 	7.9 	23.8 	36.3 	24.4 	24.0 	21.5 	30.2 
54830	Kwinana	 29,148	  38 	 1,999,734,131	 60,997	 68,606	4.87 	1.75 	0.36 	0.14 	0.419 	4.4 	15.4 	26.4 	21.2 	24.0 	28.9 	25.9 
54900	Lake Grace	 1,014	  45 	 79,013,763	 60,278	 77,923	6.73 	2.02 	0.30 	0.06 	0.571 	7.3 	23.1 	35.9 	24.5 	21.9 	22.6 	31.1 
54970	Laverton	  278 	  47 	 14,891,798	 46,800	 53,568	27.69 	2.05 	0.07 	0.01 	0.530 	np	17.0 	29.7 	39.6 	18.9 	21.4 	20.0 
55040	Leonora	  677 	  40 	 55,122,601	 72,016	 81,422	6.78 	1.90 	0.28 	0.07 	0.446 	4.0 	14.7 	25.9 	22.0 	18.0 	22.9 	37.1 
55110	Mandurah	 55,577	  45 	 3,940,673,218	 52,211	 70,905	8.59 	2.24 	0.26 	0.08 	0.511 	7.8 	20.6 	32.6 	27.9 	23.9 	20.3 	27.8 
55180	Manjimup	 6,494	  47 	 355,601,480	 43,187	 54,758	7.27 	1.97 	0.27 	0.08 	0.509 	8.0 	21.3 	33.0 	30.6 	30.3 	23.1 	16.0 
55250	Meekatharra	  493 	  42 	 28,897,390	 47,004	 58,615	12.50 	2.02 	0.16 	0.02 	0.514 	np	20.3 	32.3 	32.5 	24.0 	23.4 	20.1 
55320	Melville	 73,311	  45 	 6,565,918,282	 61,377	 89,563	8.29 	2.16 	0.26 	0.08 	0.544 	11.4 	26.1 	37.9 	25.5 	20.9 	20.1 	33.5 
55390	Menzies	  78 	  50 	 4,515,148	 54,887	 57,887	np	np	np	np	np	np	np	np	22.1 	28.6 	28.6 	20.8 
55460	Merredin	 2,066	  44 	 137,186,030	 54,555	 66,402	6.87 	1.99 	0.29 	0.09 	0.483 	6.0 	18.8 	30.5 	25.8 	24.7 	25.0 	24.6 
55530	Mingenew	  325 	  41 	 25,538,963	 67,378	 78,581	7.01 	1.88 	0.27 	0.08 	0.513 	np	20.7 	32.2 	23.5 	20.4 	26.8 	29.3 
55600	Moora	 1,654	  46 	 107,364,832	 53,277	 64,912	6.82 	1.95 	0.29 	0.07 	0.493 	7.0 	20.0 	31.5 	25.4 	26.6 	24.6 	23.4 
55670	Morawa	  413 	  48 	 29,263,898	 50,633	 70,857	16.32 	2.05 	0.13 	0.00 	0.573 	np	25.3 	39.0 	31.6 	21.8 	22.8 	23.8 
55740	Mosman Park	 6,490	  45 	 913,534,903	 68,118	 140,760	9.35 	2.56 	0.27 	0.10 	0.650 	20.6 	39.9 	51.7 	23.7 	19.7 	17.9 	38.7 
55810	Mount Magnet	  294 	  47 	 16,967,838	 39,880	 57,714	15.10 	2.62 	0.17 	0.05 	0.529 	np	18.7 	32.0 	35.5 	22.9 	20.1 	21.5 
55880	Mount Marshall	  303 	  47 	 21,567,641	 51,923	 71,180	11.00 	2.21 	0.20 	0.05 	0.582 	np	24.2 	37.5 	32.3 	20.5 	20.5 	26.7 
55950	Mukinbudin	  387 	  48 	 30,327,504	 54,296	 78,366	8.15 	2.12 	0.26 	0.06 	0.555 	np	24.1 	37.3 	26.8 	23.6 	21.0 	28.6 
56090	Mundaring	 25,807	  47 	 1,954,012,333	 59,101	 75,716	6.60 	1.99 	0.30 	0.09 	0.487 	7.6 	20.1 	31.7 	24.2 	23.0 	22.7 	30.1 
56160	Murchison	  33 	  48 	 2,027,280	 61,814	 61,433	np	np	np	np	np	np	np	np	np	np	np	np
56230	Murray	 11,435	  45 	 807,750,749	 53,003	 70,638	8.42 	2.31 	0.27 	0.08 	0.494 	5.5 	17.7 	29.8 	27.4 	23.9 	18.9 	29.9 
56300	Nannup	  980 	  53 	 53,370,724	 39,895	 54,460	8.97 	2.20 	0.25 	0.08 	0.537 	6.2 	21.0 	34.2 	33.6 	28.7 	20.9 	16.8 
56370	Narembeen	  537 	  49 	 39,007,745	 54,609	 72,640	6.27 	2.13 	0.34 	0.09 	0.518 	5.1 	19.9 	32.8 	23.1 	27.4 	21.5 	28.0 
56460	Narrogin	 3,069	  45 	 190,940,067	 51,279	 62,216	6.79 	1.93 	0.28 	0.07 	0.470 	6.0 	18.3 	29.8 	26.6 	27.0 	24.6 	21.7 
56580	Nedlands	 16,124	  48 	 2,640,162,906	 75,628	 163,741	11.01 	2.57 	0.23 	0.07 	0.674 	23.5 	41.6 	54.1 	24.1 	17.4 	15.4 	43.1 
56620	Ngaanyatjarraku	  82 	  41 	 4,926,250	 30,744	 60,076	np	np	np	np	np	np	np	np	44.7 	14.1 	12.9 	28.2 
56730	Northam	 6,737	  45 	 429,808,902	 53,619	 63,798	7.57 	1.92 	0.25 	0.07 	0.481 	6.3 	18.1 	29.7 	27.2 	23.9 	25.3 	23.6 
56790	Northampton	 1,942	  52 	 119,130,267	 46,608	 61,344	9.48 	2.17 	0.23 	0.06 	0.521 	6.5 	20.4 	33.0 	31.1 	26.3 	20.4 	22.2 
56860	Nungarin	  138 	  48 	 7,034,261	 47,712	 50,973	np	np	np	np	0.671 	np	17.8 	32.6 	34.8 	23.2 	21.7 	20.3 
56930	Peppermint Grove	 1,224	  50 	 373,422,187	 89,501	 305,083	11.83 	2.75 	0.23 	0.06 	0.777 	35.6 	56.6 	68.5 	22.0 	15.4 	14.2 	48.4 
57000	Perenjori	  282 	  49 	 22,593,221	 57,195	 80,118	6.21 	2.14 	0.35 	0.04 	0.620 	np	26.0 	39.3 	23.3 	25.1 	19.7 	31.9 
57080	Perth	 23,961	  35 	 2,102,309,325	 58,994	 87,739	7.92 	2.13 	0.27 	0.08 	0.557 	13.0 	28.2 	39.8 	25.6 	21.9 	21.5 	31.1 
57140	Pingelly	  696 	  52 	 39,690,833	 44,204	 57,027	12.70 	2.18 	0.17 	0.03 	0.598 	6.1 	21.4 	35.5 	34.3 	23.2 	22.5 	19.9 
57210	Plantagenet	 3,518	  49 	 191,643,307	 45,000	 54,475	7.75 	1.96 	0.25 	0.06 	0.513 	6.0 	19.2 	31.2 	30.1 	28.7 	23.6 	17.6 
57280	Port Hedland	 10,663	  38 	 1,074,798,145	 88,169	 100,797	6.17 	1.86 	0.30 	0.09 	0.436 	5.1 	15.7 	26.4 	18.9 	14.4 	19.7 	47.0 
57350	Quairading	  603 	  52 	 42,834,656	 50,307	 71,036	12.65 	2.20 	0.17 	0.02 	0.545 	5.8 	22.3 	36.2 	31.4 	20.9 	22.1 	25.6 
57420	Ravensthorpe	 1,309	  45 	 98,756,326	 56,647	 75,444	8.26 	2.18 	0.26 	0.06 	0.513 	6.9 	20.6 	32.2 	25.5 	24.1 	19.6 	30.8 
57490	Rockingham	 86,837	  41 	 6,349,106,288	 60,834	 73,115	5.82 	1.94 	0.33 	0.12 	0.450 	5.2 	16.7 	28.1 	22.4 	23.6 	24.1 	29.9 
57630	Sandstone	  51 	  61 	 5,259,483	 68,209	 103,127	np	np	np	np	np	np	np	np	19.2 	21.2 	25.0 	34.6 
57700	Serpentine-Jarrahdale	 21,479	  39 	 1,641,398,442	 63,313	 76,419	5.09 	1.85 	0.36 	0.14 	0.447 	7.1 	18.3 	29.2 	20.5 	23.3 	26.0 	30.3 
57770	Shark Bay	  606 	  41 	 36,698,852	 49,429	 60,559	6.54 	1.93 	0.30 	0.11 	0.475 	5.5 	17.9 	29.9 	27.0 	27.5 	25.7 	19.9 
57840	South Perth	 30,987	  43 	 2,919,265,944	 65,140	 94,209	7.52 	2.13 	0.28 	0.09 	0.542 	11.3 	26.3 	38.0 	23.5 	20.5 	21.1 	34.8 
57910	Stirling	 156,932	  40 	 12,823,739,495	 62,500	 81,715	5.88 	1.93 	0.33 	0.11 	0.493 	9.2 	22.6 	34.0 	22.1 	22.6 	24.8 	30.6 
57980	Subiaco	 12,666	  44 	 1,386,729,873	 72,862	 109,484	8.60 	2.18 	0.25 	0.08 	0.556 	10.1 	27.2 	39.6 	23.3 	18.2 	17.8 	40.7 
58050	Swan	 102,205	  39 	 7,176,351,590	 59,816	 70,215	4.91 	1.80 	0.37 	0.14 	0.437 	6.0 	17.4 	28.4 	21.2 	24.9 	28.1 	25.8 
58190	Tammin	  272 	  44 	 14,529,848	 41,110	 53,419	8.14 	2.21 	0.27 	0.03 	0.554 	np	21.3 	34.1 	30.7 	33.0 	18.5 	17.8 
58260	Three Springs	  343 	  46 	 21,702,021	 54,494	 63,271	13.77 	2.01 	0.15 	0.02 	0.535 	np	20.7 	32.3 	33.3 	17.5 	24.0 	25.1 
58330	Toodyay	 3,051	  52 	 206,800,697	 52,929	 67,781	8.73 	2.16 	0.25 	0.06 	0.507 	6.3 	18.9 	30.9 	27.8 	23.7 	21.3 	27.3 
58400	Trayning	  197 	  52 	 13,537,140	 51,256	 68,716	np	np	np	np	0.578 	np	19.8 	34.3 	32.1 	21.4 	19.4 	27.0 
58470	Upper Gascoyne	  61 	  52 	 3,423,257	 49,460	 56,119	np	np	np	np	np	np	np	np	31.3 	23.4 	25.0 	20.3 
58510	Victoria Park	 26,308	  38 	 2,114,490,838	 64,185	 80,374	5.55 	1.90 	0.34 	0.12 	0.469 	7.8 	20.1 	31.3 	21.2 	22.2 	25.3 	31.4 
58540	Victoria Plains	  621 	  48 	 47,222,642	 58,163	 76,043	6.30 	2.00 	0.32 	0.08 	0.537 	7.7 	23.1 	36.0 	25.5 	20.8 	26.8 	26.9 
58570	Vincent	 28,318	  38 	 2,595,015,523	 69,702	 91,638	5.84 	1.99 	0.34 	0.13 	0.488 	7.7 	21.4 	33.1 	19.9 	20.8 	23.1 	36.3 
58610	Wagin	 1,224	  48 	 73,945,809	 49,158	 60,413	8.62 	1.98 	0.23 	0.07 	0.502 	7.6 	19.7 	31.5 	30.1 	24.5 	24.7 	20.8 
58680	Wandering	  320 	  49 	 21,819,061	 58,588	 68,185	9.38 	2.00 	0.21 	0.03 	0.504 	np	16.3 	28.4 	28.5 	19.2 	23.8 	28.5 
58760	Wanneroo	 137,899	  40 	 9,617,689,843	 58,258	 69,744	5.12 	1.85 	0.36 	0.14 	0.443 	5.6 	17.4 	28.7 	21.8 	25.5 	26.8 	25.9 
58820	Waroona	 2,601	  47 	 184,700,912	 53,308	 71,012	8.85 	2.29 	0.26 	0.08 	0.492 	5.3 	17.5 	29.5 	27.9 	23.1 	18.7 	30.4 
58890	West Arthur	  608 	  50 	 45,964,966	 58,345	 75,600	5.47 	2.01 	0.37 	0.10 	0.492 	7.4 	20.8 	32.8 	21.5 	26.1 	26.8 	25.6 
59030	Westonia	  147 	  46 	 11,945,181	 68,179	 81,260	np	np	np	np	0.708 	np	25.4 	37.7 	23.0 	19.6 	23.0 	34.5 
59100	Wickepin	  481 	  49 	 31,653,626	 51,998	 65,808	9.10 	2.00 	0.22 	0.05 	0.527 	np	20.2 	33.6 	28.3 	24.2 	22.7 	24.8 
59170	Williams	  686 	  46 	 57,807,178	 65,325	 84,267	5.67 	1.98 	0.35 	0.11 	0.480 	6.8 	19.8 	31.4 	20.5 	21.7 	24.3 	33.5 
59250	Wiluna	  227 	  45 	 8,110,224	 19,028	 35,728	30.47 	3.41 	0.11 	0.02 	0.774 	np	28.0 	43.9 	53.5 	21.1 	14.0 	11.4 
59310	Wongan-Ballidu	  898 	  46 	 60,222,724	 53,760	 67,063	8.15 	2.07 	0.25 	0.06 	0.552 	6.7 	20.8 	33.2 	26.9 	24.1 	22.3 	26.7 
59320	Woodanilling	  258 	  48 	 20,152,139	 57,309	 78,109	6.01 	1.98 	0.33 	0.04 	0.501 	np	19.8 	34.0 	23.0 	24.6 	24.2 	28.1 
59330	Wyalkatchem	  312 	  51 	 21,016,690	 54,741	 67,361	12.10 	2.13 	0.18 	0.03 	0.576 	np	20.3 	33.5 	28.3 	22.2 	23.2 	26.3 
59340	Wyndham-East Kimberley	 4,923	  39 	 322,001,955	 56,571	 65,408	8.00 	1.83 	0.23 	0.05 	0.476 	6.7 	18.5 	29.5 	26.9 	21.9 	26.0 	25.1 
59350	Yalgoo	  119 	  48 	 6,331,829	 32,327	 53,209	np	np	np	np	0.546 	np	21.6 	35.1 	40.3 	24.4 	19.3 	16.0 
59360	Yilgarn	  625 	  49 	 47,296,481	 64,997	 75,674	6.49 	1.85 	0.29 	0.08 	0.483 	6.0 	18.3 	29.7 	22.6 	21.3 	25.2 	30.9 
59370	York	 2,320	  52 	 149,601,091	 49,345	 64,483	8.80 	2.12 	0.24 	0.07 	0.516 	6.8 	19.9 	32.4 	29.7 	24.0 	21.8 	24.5 
Tasmania		 347,602	  43 	 21,145,997,914	 50,645	 60,834	5.48 	1.80 	0.33 	0.11 	0.469 	8.5 	20.6 	31.3 	25.6 	28.6 	27.5 	18.3 
60210	Break O'Day	 3,744	  50 	 164,810,644	 33,225	 44,020	8.68 	2.10 	0.24 	0.07 	0.525 	7.8 	21.4 	33.7 	37.6 	32.9 	18.9 	10.7 
60410	Brighton	 10,715	  39 	 594,024,503	 51,932	 55,439	4.38 	1.63 	0.37 	0.14 	0.400 	4.8 	15.0 	25.2 	23.3 	30.3 	32.4 	14.0 
60610	Burnie	 11,837	  42 	 710,678,346	 50,995	 60,039	5.83 	1.80 	0.31 	0.10 	0.470 	7.7 	19.6 	30.4 	26.2 	27.6 	27.5 	18.7 
60810	Central Coast	 13,737	  46 	 787,110,550	 48,945	 57,299	6.21 	1.84 	0.30 	0.09 	0.461 	6.3 	18.1 	29.1 	27.5 	28.0 	26.6 	17.9 
61010	Central Highlands	 1,415	  47 	 73,101,935	 43,409	 51,662	6.76 	1.83 	0.27 	0.09 	0.522 	6.5 	21.4 	33.2 	31.2 	30.7 	24.6 	13.5 
61210	Circular Head	 5,089	  42 	 279,799,030	 47,956	 54,981	5.39 	1.77 	0.33 	0.10 	0.455 	6.3 	18.1 	29.0 	26.2 	31.5 	27.1 	15.2 
61410	Clarence	 39,261	  43 	 2,546,716,442	 55,221	 64,866	5.03 	1.77 	0.35 	0.11 	0.447 	7.1 	18.9 	29.5 	23.0 	26.9 	28.7 	21.5 
61510	Derwent Valley	 6,263	  42 	 332,487,291	 49,918	 53,088	4.99 	1.66 	0.33 	0.10 	0.418 	4.5 	15.0 	25.4 	24.8 	30.6 	31.2 	13.4 
61610	Devonport	 15,770	  42 	 860,797,957	 47,502	 54,585	5.77 	1.78 	0.31 	0.11 	0.448 	6.1 	17.7 	28.6 	27.4 	30.3 	27.1 	15.2 
61810	Dorset	 4,097	  47 	 261,938,413	 43,385	 63,934	6.06 	1.82 	0.30 	0.10 	0.605 	28.8 	38.2 	46.7 	29.5 	32.6 	24.9 	13.0 
62010	Flinders	  622 	  55 	 36,736,138	 44,651	 59,061	7.20 	2.04 	0.28 	0.08 	0.517 	7.1 	21.4 	33.9 	29.9 	29.2 	22.5 	18.4 
62210	George Town	 4,126	  43 	 217,725,129	 44,595	 52,769	6.04 	1.83 	0.30 	0.10 	0.466 	7.0 	18.9 	30.1 	28.6 	33.7 	22.8 	14.9 
62410	Glamorgan/Spring Bay	 3,095	  51 	 153,865,791	 40,993	 49,714	6.89 	1.84 	0.27 	0.07 	0.492 	8.5 	21.2 	32.2 	31.1 	32.4 	25.1 	11.3 
62610	Glenorchy	 31,334	  37 	 1,719,881,739	 51,294	 54,889	4.31 	1.64 	0.38 	0.13 	0.400 	4.6 	14.9 	25.1 	23.3 	31.1 	31.6 	14.0 
62810	Hobart	 39,913	  40 	 3,077,489,962	 54,205	 77,105	6.30 	2.00 	0.32 	0.11 	0.531 	13.2 	27.4 	38.4 	25.3 	25.5 	23.5 	25.8 
63010	Huon Valley	 10,978	  46 	 573,451,648	 44,626	 52,236	6.71 	1.82 	0.27 	0.08 	0.494 	7.1 	19.6 	30.9 	30.7 	28.8 	26.5 	14.0 
63210	Kentish	 3,985	  47 	 202,112,828	 44,773	 50,718	6.24 	1.82 	0.29 	0.10 	0.468 	5.0 	16.9 	28.3 	29.2 	30.7 	26.0 	14.1 
63410	King Island	 1,120	  46 	 69,191,037	 50,000	 61,778	5.94 	1.85 	0.31 	0.10 	0.489 	6.7 	21.3 	32.9 	25.1 	30.1 	25.8 	18.9 
63610	Kingborough	 26,338	  44 	 1,722,150,644	 53,236	 65,387	5.87 	1.84 	0.31 	0.10 	0.477 	9.2 	21.3 	31.9 	25.7 	25.9 	26.7 	21.7 
63810	Latrobe	 7,577	  46 	 444,320,715	 49,264	 58,641	5.76 	1.83 	0.32 	0.11 	0.469 	8.1 	19.9 	30.8 	26.5 	29.6 	26.5 	17.4 
64010	Launceston	 43,109	  41 	 2,631,206,278	 50,811	 61,036	5.02 	1.77 	0.35 	0.12 	0.459 	8.2 	20.5 	31.1 	24.4 	29.9 	27.9 	17.8 
64210	Meander Valley	 13,103	  45 	 744,249,009	 49,604	 56,800	5.54 	1.78 	0.32 	0.10 	0.458 	6.2 	18.2 	29.0 	26.5 	29.0 	27.7 	16.7 
64610	Northern Midlands	 8,631	  45 	 507,273,591	 50,212	 58,773	4.74 	1.70 	0.36 	0.12 	0.463 	9.2 	20.9 	31.5 	24.8 	30.6 	29.0 	15.5 
64810	Sorell	 10,316	  43 	 583,461,097	 51,951	 56,559	4.56 	1.67 	0.37 	0.13 	0.415 	4.7 	15.6 	26.0 	23.3 	30.0 	31.0 	15.7 
65010	Southern Midlands	 3,953	  44 	 218,256,297	 50,114	 55,213	5.10 	1.70 	0.33 	0.10 	0.449 	5.5 	17.8 	28.4 	26.2 	29.3 	29.7 	14.7 
65210	Tasman	 1,446	  52 	 67,475,032	 36,771	 46,663	8.28 	2.02 	0.24 	0.06 	0.517 	7.2 	20.9 	32.5 	36.2 	30.1 	21.7 	12.0 
65410	Waratah/Wynyard	 8,027	  46 	 472,863,390	 50,398	 58,909	6.44 	1.85 	0.29 	0.09 	0.468 	6.4 	18.4 	29.4 	27.2 	26.9 	26.5 	19.4 
65610	West Coast	 2,207	  44 	 135,473,349	 50,192	 61,383	7.18 	2.01 	0.28 	0.10 	0.471 	5.8 	17.5 	29.0 	28.5 	25.0 	23.8 	22.8 
65810	West Tamar	 15,793	  46 	 959,026,016	 50,755	 60,725	6.03 	1.84 	0.31 	0.09 	0.470 	6.9 	19.4 	30.5 	26.4 	27.4 	26.7 	19.5 
Northern Territory		 145,507	  38 	 10,716,070,539	 65,301	 73,646	5.11 	1.71 	0.34 	0.11 	0.433 	6.1 	17.4 	27.9 	21.2 	21.0 	28.8 	29.0 
70200	Alice Springs	 19,906	  39 	 1,432,746,675	 65,574	 71,976	5.79 	1.70 	0.29 	0.09 	0.434 	5.4 	16.6 	27.2 	22.7 	19.8 	28.3 	29.2 
70420	Barkly	 2,450	  38 	 147,184,113	 53,603	 60,075	8.69 	1.85 	0.21 	0.07 	0.461 	4.4 	15.4 	27.0 	30.5 	20.3 	26.6 	22.7 
70540	Belyuen	  32 	  37 	 412,260	 6,069	 12,883	np	np	np	np	np	np	np	np	np	np	np	np
70620	Central Desert	  675 	  37 	 27,878,644	 22,088	 41,302	23.55 	3.69 	0.16 	0.05 	0.587 	5.2 	20.8 	35.7 	50.4 	21.6 	13.2 	14.8 
70700	Coomalie	  723 	  49 	 40,646,978	 43,447	 56,220	8.60 	2.08 	0.24 	0.08 	0.522 	7.1 	20.4 	32.6 	32.3 	26.4 	22.5 	18.8 
71000	Darwin	 59,983	  38 	 4,703,888,361	 67,820	 78,420	4.36 	1.70 	0.39 	0.15 	0.428 	7.0 	18.5 	28.7 	18.5 	21.3 	29.5 	30.7 
71150	Darwin Waterfront Precinct	  239 	  38 	 25,818,879	 94,187	 108,029	3.46 	1.63 	0.47 	0.25 	0.387 	np	16.9 	27.1 	10.5 	15.5 	24.3 	49.8 
71300	East Arnhem	 1,009	  38 	 33,583,239	 17,092	 33,284	15.02 	3.27 	0.22 	0.07 	0.588 	5.7 	22.4 	38.4 	56.4 	23.1 	10.6 	9.8 
72200	Katherine	 7,386	  37 	 490,482,131	 60,063	 66,407	5.67 	1.71 	0.30 	0.10 	0.443 	6.3 	17.2 	27.5 	23.5 	22.6 	28.6 	25.3 
72300	Litchfield	 15,363	  42 	 1,190,499,323	 69,758	 77,491	4.37 	1.69 	0.39 	0.15 	0.414 	5.0 	16.1 	26.7 	18.0 	21.1 	29.2 	31.7 
72330	MacDonnell	  855 	  37 	 31,921,888	 21,070	 37,336	15.17 	3.25 	0.21 	0.09 	0.568 	5.8 	21.5 	36.0 	52.2 	22.7 	15.7 	9.5 
72800	Palmerston	 25,752	  37 	 1,952,245,457	 71,069	 75,809	3.82 	1.58 	0.41 	0.17 	0.382 	4.4 	14.6 	24.7 	16.9 	20.0 	32.8 	30.3 
73600	Roper Gulf	 1,372	  38 	 60,977,349	 29,171	 44,444	10.68 	2.50 	0.23 	0.08 	0.535 	6.6 	20.5 	33.9 	42.2 	26.9 	17.6 	13.3 
74050	Tiwi Islands	  609 	  38 	 22,192,760	 22,959	 36,441	14.43 	2.60 	0.18 	0.06 	0.564 	7.6 	23.7 	37.2 	49.2 	28.7 	14.1 	8.0 
74550	Victoria Daly	  834 	  38 	 38,075,481	 34,439	 45,654	12.32 	2.07 	0.17 	0.06 	0.526 	7.6 	20.0 	32.8 	40.3 	26.2 	21.2 	12.3 
74560	Wagait	  284 	  52 	 19,952,931	 58,595	 70,257	7.35 	1.93 	0.26 	0.10 	0.475 	np	19.7 	30.3 	25.7 	21.1 	26.1 	27.1 
74660	West Arnhem	 1,330	  36 	 62,220,003	 27,476	 46,782	18.73 	3.03 	0.16 	0.06 	0.561 	5.6 	19.8 	33.7 	46.4 	18.0 	18.4 	17.2 
74680	West Daly	  530 	  38 	 23,826,558	 32,287	 44,956	10.28 	2.36 	0.23 	0.06 	0.523 	6.1 	19.2 	32.8 	38.8 	33.0 	13.4 	14.9 
79399	Unincorporated NT	 5,278	  39 	 394,300,977	 62,360	 74,707	6.14 	1.93 	0.32 	0.12 	0.452 	5.4 	17.0 	28.5 	22.4 	21.3 	26.0 	30.2 
Australian Capital Territory		 321,911	  40 	 27,219,898,154	 72,115	 84,557	4.49 	1.70 	0.38 	0.15 	0.441 	7.2 	19.2 	29.8 	17.9 	20.5 	26.8 	34.8 
89399	Unincorporated ACT	 321,911	  40 	 27,219,898,154	 72,115	 84,557	4.49 	1.70 	0.38 	0.15 	0.441 	7.2 	19.2 	29.8 	17.9 	20.5 	26.8 	34.8 
